Name/nickname:,Feedback?,Total distance:,Average power:,0 seconds,5 seconds,10 seconds,15 seconds,20 seconds,25 seconds,30 seconds
Participant 1 (M),No feedback,117.3,163.5,51.5,164.8,221,200.1,198.8,180.5,180.5
Participant 1 (M),No feedback,110,126.3,48.6,173.8,184.6,72.5,150,127.3,124.2
Participant 1 (M),Feedback,115.7,146.4,47.5,150,224.1,197.2,168.6,158.8,147.6
Participant 1 (M),Feedback,106,111,50.3,112,179.2,172.5,152.4,131.7,118
Participant 2 (M),No feedback,130.3,218.3,122.1,241.7,251.7,240.1,232,222.6,217.9
Participant 2 (M),Feedback,131.3,211.9,64.8,276.1,262,256,262,253.4,230.4
Participant 2 (M),No feedback,130.3,225.7,110,262,255.1,250,243.7,231,225
Participant 2 (M),Feedback,130,221,120,269,258.5,255.1,251,241.7,228
Participant 3 (M),No feedback,120.5,175.1,50.3,168.4,197.2,210.4,208.9,198.6,195.1
Participant 3 (M),No feedback,123,188.7,58.8,221.1,224.4,205.9,201.5,203,201.5
Participant 3 (M),Feedback,125.4,191.5,56.9,195.8,241.7,230.4,232,224.1,204.4
Participant 3 (M),Feedback,124,191.5,63.4,228.8,227.3,227.3,222.6,207.4,190.5
Participant 4 (F),No feedback,87.1,51.5,24.8,38.2,64.8,68.2,66.1,61.4,55.1
Participant 4 (F),No feedback,85,42.7,20.1,31.8,56.3,60.1,55.1,53.8,53.2
Participant 4 (F),Feedback,87.3,51.7,23.4,45.3,59.5,62.1,59.5,58.2,60.8
Participant 4 (F),Feedback,90.6,54.5,23.7,50.9,67.5,66.8,66.1,60.8,66.1
Participant 5 (M),No feedback,127.5,198.6,119,262.1,260.2,246.7,233.6,213.4,190.1
Participant 5 (M),No feedback,120.2,179.2,66.1,230.4,120.3,219.3,184.6,152.2,138.4
Participant 5 (M),Feedback,122.4,159.5,68.9,234.4,241.7,227.3,214.9,190.1,150
Participant 5 (M),Feedback,118.2,156,52.6,214.8,233.6,205.9,179.2,162.6,139.5
Participant 6 (F),No feedback,109.4,131.7,79.4,154.8,159.7,157.3,150,140.6,130.6
Participant 6 (F),No feedback,108.4,121,51.5,142.9,148.8,144.1,139.5,137.2,136.1
